text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic
"But how much is that?  Okay, so right 5.  And then she uses one- fourth of the wood for a kitchen shelf.  Can you show me the line where one-fourth is?  Good.  How much is a fourth?",teacher,37,1,,,0.0,ولكن كم هو هذا؟ حسناً، حسناً 5، وبعد ذلك تستخدم ربع الخشب لرف المطبخ. هل يمكنك أن تريني الخط حيث ربع؟ جيد. كم هو ربع؟
25 percent.,student,2,1,,,,25 بالمئة
"25 percent, great.  Also, if 5 is half, what’s a fourth?  This is half of this, sweetie, so when you cut 5 in half, what’s half of 5?",teacher,28,1,,,0.0,25 في المئة، عظيم. أيضا، إذا كان 5 هو نصف، ما هو الرابع؟ هذا هو نصف هذا، عزيزي، إذا كنت قطع 5 في النصف، ما هو نصف 5؟
2-1/2.,student,1,0,,,,2-1/2
"Yes, so label that 2-1/2. You don’t need to get an attitude about it. So this is what she’s already used, right?  Shade this in a little bit too so we know she used it. How many feet of wood are left?",teacher,42,0,,,0.0,نعم، لذا قم بتسمية ذلك 2-1/2. لا تحتاج إلى الحصول على موقف حول ذلك. إذاً هذا ما استخدمته بالفعل، أليس كذلك؟ قم بتظليل هذا قليلاً أيضاً حتى نعرف أنها استخدمته. كم قدم من الخشب بقي؟
4-1/2.,student,1,0,,,,4-1/2.
"When we add 5, plus 2-1/2, plus 4-1/2, do we get 10?",teacher,12,1,,,0.0,"عندما نضيف 5 + 2-1/2, + 4-1/2, هل نحصل على 10؟"
"Yes, we do.",student,3,0,,,,نعم، نحن نريد.
"You just showed this is 2-1/2, so what does this section have to be as well?  Think about that.  Think about when you add these 2 together, add 5 and 2-1/2.",teacher,31,2,,,0.0,"لقد أظهرت للتو أن هذا هو 2-1/2, لذلك ما يجب أن يكون هذا القسم كذلك؟ فكر في ذلك. فكر في ذلك عندما تضيف هذه 2 معا، تضيف 5 و 2-1/2."
8-1/2?,student,1,0,,,,ثمانية ونصف؟
"No, add these two together.",teacher,5,1,,,0.0,لا، إضافة هذان الاثنان معا.
[Inaudible].,student,1,0,,,,[غير مسموع].
"Okay, go take a quick break and then come back.  You’re getting really grumpy for no reason.  I don’t know why you have an attitude right now, but it’s not necessary, and it’s rude. Okay, sit up please.  Draw the piece of wood that they used. Okay we’re just going to stop and what you don’t finish you can finish later.  We’re going to go over number 3.  We’re going to go over number 3.  Student D, sit up, please. Student D, sit up please.  Now.  Then you can choose to leave and go take five minutes, but you’re not going to sit there with your head on the desk.  So either sit up or leave and go take five.  Maybe you want to put your shoe on your foot. Okay, we’re going to read number 3 altogether.  I have it really tiny here in my book.  You can go with him if you want.  All right.  “A pizza is cut into 12 equal pieces.” How many pieces?",teacher,168,0,,,0.0,حسناً، إذهب وتأخذ قسطاً سريعاً ثم تعود. ستصبحين غاضبة حقاً بدون سبب. لا أعرف لماذا لديك موقف الآن، ولكن ليس من الضروري، و هو وقح. حسناً، اجلس من فضلك. ارسم قطعة الخشب التي استخدموها. حسناً، سنوقف فقط و ما لم تنتهيه يمكنك إنهاءه لاحقاً. سنذهب إلى رقم 3. سنذهب إلى رقم 3. الطالب D، اجلس من فضلك. الطالب D، اجلس من فضلك. الآن. ثم يمكنك اختيار الرحيل والذهاب لمدة خمس دقائق، ولكنك لن تجلس هناك برأسك على الطاولة. لذا إما أن تجلس أو ترحل وتذهب إلى خمسة. ربما تريد وضع حذاءك على سطحك. حسناً، سنقوم بقراءة رقم 3 بالكامل. لديّ هذا في كتابي، من فضلك. الطالب D، اجلس من فضلك. الآن.
12.,student,1,0,,,,12
"12, thanks, Student C, thanks for chiming in.  12 pieces.  12.",teacher,11,0,,,0.0,12، شكراً، الطالب (سي) ، شكراً على الدعوة 12 قطعة
Is it still videotaping?,student,4,0,,,,هل لا يزال يصور الفيديو؟
"Yes, it’s videotaping until math is over with.  We’re going over number 3 and then we’ll be done with math.  Can you sit up please, Student B?",teacher,27,0,,,0.0,نعم، إنها تسجيل فيديو حتى تنتهي الرياضيات سنذهب إلى رقم 3 ثم سننتهي من الرياضيات هل يمكنك الجلوس من فضلك، الطالب ب؟
I’m tired.,student,2,0,,,,أنا متعب.
Get some more sleep at home. How much does Alexander eat?,teacher,11,0,,,0.0,احصل على المزيد من النوم في المنزل كم يأكل ألكسندر؟
Alexander ate one-third.,student,3,0,,,,أكل ألكسندر ثلثها.
One-third.,teacher,1,0,,,0.0,ثلث
Rachel ate one-fourth.,student,3,0,,,,(رايتشل) أكلت ربع.
"Rachel ate one-fourth, and Charles…",teacher,5,0,,,0.0,(رايتشل) أكلت ربع، و (تشارلز)...
1/12.,student,1,0,,,,1/12.
"So there’s 12 pieces, right?  So what fraction is that?  What fraction is the whole pizza?",teacher,16,3,,,0.0,إذاً هناك 12 قطعة، أليس كذلك؟ إذاً ما هو هذا الجزء؟ ما هو الجزء الكامل من البيتزا؟
12.,student,1,0,,,,12
12 out of…,teacher,3,0,,,0.0,12 من...
12 out of 1.,student,4,0,,,,12 من 1.
Think about this.,teacher,3,0,,,0.0,فكر في هذا
"Ooh, ooh, 12 out of … wait. 8 out of 12. 12 out of 12.",student,15,0,,0.0,,12 من... إنتظر 8 من 12. 12 من 12.
"The whole pizza, sweetie, is 12 out of 12.  The whole.  Okay? 12 out of 12.  So we want to see how much these 3 ate all together, and then how much is left over, right?  So there’s 2 ways to show it.  How can we see how much they ate altogether?  What can we do with those 3 fractions?",teacher,60,3,1.0,,0.0,الـ 12 من الـ 12، حسناً؟ 12 من الـ 12، لذا نريد أن نرى كم تناول هؤلاء الثلاثة معاً، وبعدها كم تبقى، صحيح؟ هناك طريقتان لإظهار ذلك. كيف يمكننا أن نرى كم تناولوا معاً؟
Get the clock.,student,3,0,,,,أحضروا الساعة
Student C?,teacher,2,0,,,0.0,الطالب (سي) ؟
"Draw 12 pieces and then start shading in, [inaudible].",student,9,0,,0.0,,ارسم 12 قطعة ثم ابدأ بالتظليل
"Okay, there’s 12 pieces.  So you want to do one-third first?",teacher,11,0,1.0,,0.0,حسناً، هناك 12 قطعة، لذا هل تريد أن تفعل ثلثاً أولاً؟
"Oh yes, one-third.  So you shade in three.",student,8,0,,0.0,,أجل، ثلثاً، إذاً تَظْلُ في ثلاثة.
For one-third you shade in three?,teacher,6,0,1.0,,0.0,لثلث تَظْلِفُ في ثلاثة؟
"Yeah, you shade three.  One-third.",student,5,0,,,,نعم، أنت تَظْلِفُ ثلاثة.
One-third would mean we break 12 into how many groups?,teacher,10,0,1.0,,0.0,ثلث واحد يعني أننا نقسم 12 إلى عدد المجموعات؟
3 halves.,student,2,0,,,,ثلاثة نصفين.
One-third would mean we break 12 into 3 equal groups.  What number goes in here?,teacher,15,1,,,0.0,ثلث واحد يعني أننا نقسم 12 إلى 3 مجموعات متساوية.
3.,student,1,0,,,,3 .
The same number.,teacher,3,0,,,0.0,نفس الرقم
"Oh, 4.",student,2,0,,,,-أربعة
"What is it, Student B?",teacher,5,0,,,0.0,ما الأمر، الطالب ب؟
4.,student,1,0,,,,4 .
4.  One-third is how many pieces?,teacher,6,0,,,0.0,4. كم عدد القطع الثلثية؟
4.,student,1,0,,,,4 .
"1, 2, 3 4.  Now, for Rachel.",teacher,7,0,,,0.0,1، 2، 3، 4 الآن، لـ (رايتشل)
3. 4 equal pieces.,student,4,0,,,,3. 4 قطع متساوية
4 equal pieces.,teacher,3,0,,,0.0,أربعة قطع متساوية
3.,student,1,0,,,,3 .
"I know, Student E, I want to show people that don’t get it.",teacher,13,0,,,0.0,أعلم، الطالب إيه، أريد أن أري الناس الذين لا يفهمون ذلك.
I get it.,student,3,0,,,,لقد فهمت
"4 equal pieces.  3, 3, 3, 3.  25 percent.  So 3 pieces, right? 1, 2, 3.  And then how many does it say that Charles ate out of 12?",teacher,29,1,,,1.0,4 قطع متساوية. 3، 3، 3، 3، 25 في المئة. إذاً 3 قطع، صحيح؟ 1، 2، 3، و بعد ذلك كم تقول أن تشارلز أكل من 12؟
One.,student,1,0,,,,واحد.
"One.  So we don’t need to do this for him, we just say 1.  How many are left?",teacher,18,0,,,0.0,واحد. لذلك نحن لسنا بحاجة للقيام بذلك من أجله، نحن فقط نقول 1. كم يبقى؟
Four.,student,1,0,,,,أربعة.
"Four out of 12. Or, you could also do it this way.  We want to find how many they ate altogether, so if we want to find something altogether, what do we do?  What operation do we do?",teacher,38,0,,,0.0,أربعة من بين 12، أو يمكنك أيضا القيام بذلك بهذه الطريقة. نريد أن نجد عدد الذين أكلوا جميعا، لذلك إذا أردنا أن نجد شيئا تماما، ماذا نفعل؟ ما العملية التي نفعل؟
Plus.,student,1,0,,,,بالإضافة.
"Plus, we add.",teacher,3,1,,,0.0,بالإضافة، نضيف.
Addition.,student,1,1,,,,إضافة
We say one-third plus what?,teacher,5,0,,,0.0,نقول ثلث زائد ماذا؟
1/3 plus ¼ plus 1/12.,student,5,0,,,,1/3 + 1⁄4 + 1/12.
"Right, well you can’t, so you need to find common denominators, right?",teacher,12,1,0.0,,0.0,حسناً، لا يمكنك، لذا عليك أن تجد المشاركين المشتركين، أليس كذلك؟
"So 3, the multiple of 3, or a multiple of 4.",student,11,2,,0.0,,اذاً 3 هو مضاعف 3 أو مضاعف 4
"3, 6, 9, 12, 4, 8, 12 and then just 12, right?  12 is what we have in common for all of them?",teacher,23,0,1.0,,0.0,3، 6، 9، 12، 4، 8، 12 ثم 12 فقط، أليس كذلك؟
That’s what I did.,student,4,0,,,,هذا ما فعلته
"So for this we would say times 4, times 4, times 3, times 3. Okay, and what’s our new fractions?",teacher,20,1,,,0.0,لذلك لهذا سنقول ضرب 4، ضرب 4، ضرب 3، ضرب 3. حسنا، وما هي الكسور الجديدة؟
Our new fractions…,student,3,1,,,,كسورنا الجديدة...
This new one would be…,teacher,5,0,,,0.0,هذا الجديد سيكون...
The denominator would be 12 and the numerator would be 4.,student,11,2,,0.0,,المطلق سيكون 12 والرقم سيكون 4.
Good.  Plus…,teacher,2,0,0.0,,0.0,جيد، بالإضافة...
"And the other one, plus 3 out of … I can’t see.  What is [inaudible].",student,15,0,,0.0,,والآخر، بالإضافة إلى 3 من... لا أستطيع أن أرى.
"The numerator’s going to be the same in all of them, sweetie. I mean the denominator is going to be the same, so what’s it going to be?",teacher,28,2,0.0,,0.0,العداد سيكون نفسه في جميعها، يا عزيزتي. أعني القاسم سيكون نفسه، لذا ما الذي سيكون؟
So it’s going to be 12.,student,6,0,,,,اذاً سيكون 12
"Yes, plus…",teacher,2,0,0.0,,0.0,نعم، بالإضافة...
[Inaudible],student,1,0,,,,[غير مسموع]
"You’re fine, go ahead.  Plus what?",teacher,6,0,,,0.0,أنتِ بخير، إستمري، بالإضافة إلى ماذا؟
12.  I mean 1 out of 12.,student,7,0,,,,12، أعني 1 من 12
"So when we add them all up, what do we get?",teacher,11,1,0.0,,0.0,إذاً عندما نجمعهم جميعاً، ما الذي نحصل عليه؟
8 out of 12.,student,4,0,,,,8 من 12
"This is what they ate.  They ate 8 of the pieces, did they?  1, 2, 3, 4, 5, 6, 7, 8.  8.",teacher,22,0,,,0.0,هذا ما أكلوه، أكلوا ثمانية قطع، أليس كذلك؟
"Yeah, because there were 4 left.",student,6,0,,,,أجل، لأن هناك أربعة بقيت.
"Okay, so that means how many are left?  If they ate 8 of them, how many are left?",teacher,18,0,1.0,,0.0,حسناً، إذاً هذا يعني كم عدد البقايا؟ إذا أكلوا 8 منهم، كم عدد البقايا؟
4.,student,1,0,,,,4 .
"Good, so we can say the whole is 12 out of 12, minus what they ate, they ate 8 out of the 12, and then we have 4 out of 12 left, right? Okay, put your math in your folder.",teacher,40,1,,,0.0,حسناً، يمكننا أن نقول أن الإجمالي هو 12 من 12، ناقص ما أكلوه، أكلوا 8 من 12، ثم تبقى لدينا 4 من 12، حسناً، ضع الرياضيات في المجلد الخاص بك.
"Oh, if you reduced 4 out of 12 you’ll get [inaudible].",student,11,0,,1.0,,أوه، إذا خفضت 4 من 12 سوف تحصل على [غير مستمع].
"Right, the equivalent would be one-third, thank you.  Then we’ll come back.",teacher,12,1,0.0,,0.0,حسناً، ما يعادلها سيكون ثلثاً، شكراً، ثم سنعود
