text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic
Once.,student,1,0,,,,مرة واحدة.,مره واحده.,2,0.0,False
How many times does three go into nine?,teacher,8,0,,,0.0,كم مرة يذهب ثلاثة إلى تسعة؟,كم مره يذهب ثلاثه الي تسعه؟,6,0.16666666666666666,True
I know how many time three goes into six and nine.,student,11,0,,0.0,,أعرف كم عدد المرات التي يذهب فيها ثلاثة إلى ستة وتسعة,اعرف كم عدد المرات التي يذهب فيها ثلاثه الي سته وتسعه,11,0.18181818181818182,True
Don’t do that right now.  We’re doing math.  We’re not doing anything else so I do not know why you’re doing your homework while we’re supposed to be doing math.,teacher,30,0,0.0,,0.0,لا تفعل ذلك الآن نحن نقوم بالرياضيات نحن لا نقوم بأي شيء آخر لذا لا أعرف لماذا تقوم بعمل منزلك بينما من المفترض أن نقوم بالرياضيات,لا تفعل ذلك الان نحن نقوم بالرياضيات نحن لا نقوم باي شيء اخر لذا لا اعرف لماذا تقوم بعمل منزلك بينما من المفترض ان نقوم بالرياضيات,26,0.0,False
[Inaudible] Three.,student,2,0,,,,ثلاثة,ثلاثه,1,1.0,True
"There you go.  Okay, now I want you to take this time to work with your partner.  If they do not have it all completely filled in, that’s when you can come in to help them.  I didn’t hear you guys explaining to each other how you solved it.",teacher,49,0,,,0.0,حسناً، الآن أريدكم أن تأخذوا هذا الوقت للعمل مع شريككم. إذا لم يكن لديهم كل شيء مليئاً تماماً، عندها يمكنكم القدوم لمساعدتهم. لم أسمعكم تشرحون لبعضكم البعض كيف حلتم الأمر.,حسنا، الان اريدكم ان تاخذوا هذا الوقت للعمل مع شريككم. اذا لم يكن لديهم كل شيء مليئا تماما، عندها يمكنكم القدوم لمساعدتهم. لم اسمعكم تشرحون لبعضكم البعض كيف حلتم الامر.,30,0.0,False
He’s not done. I didn’t do it. He’s not done.,student,10,0,,0.0,,هو لم ينتهي، أنا لم أفعل ذلك، هو لم ينتهي,هو لم ينتهي، انا لم افعل ذلك، هو لم ينتهي,10,0.0,False
"Get finished.  What are you doing getting out of your seat? Sit down and continue.   Student Y, are you done?",teacher,20,0,1.0,,0.0,انتهي، ما الذي تفعله لتخرج من مقعدك؟ اجلس واستمر,انتهي، ما الذي تفعله لتخرج من مقعدك؟ اجلس واستمر,9,0.0,False
Yeah.,student,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
Then you can help him.  Are you guys done?,teacher,9,0,,,0.0,ثم يمكنك مساعدته هل انتهيتم؟,ثم يمكنك مساعدته هل انتهيتم؟,5,0.0,False
We’re working on [Inaudible].,student,4,0,,,,نحن نعمل على (لا يمكن سماعها),نحن نعمل علي (لا يمكن سماعها),6,0.0,False
Sh!,teacher,1,0,,,0.0,اللعنة!,اللعنه!,1,0.0,False
We’re trying to find [the answer].,student,6,0,,,,نحن نحاول العثور على الجواب,نحن نحاول العثور علي الجواب,5,0.0,False
"Good.  Yep.   Did you ask [Inaudible] how he solved it?  I didn’t hear.  Go ahead, Student J, I want to hear you say it.",teacher,24,0,0.0,,1.0,حسناً، أجل، هل سألت (لاسمعي) كيف حل الأمر؟ لم أسمع.,حسنا، اجل، هل سالت (لاسمعي) كيف حل الامر؟ لم اسمع.,10,0.1,True
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"I hear too much chatter.  If you’re sharing ideas, a little bit lower please.",teacher,14,0,,,0.0,أنا أسمع الكثير من المحادثات إذا كنت تشارك الأفكار، أبعد قليلا من فضلك.,انا اسمع الكثير من المحادثات اذا كنت تشارك الافكار، ابعد قليلا من فضلك.,13,0.0,False
[Inaudible] and that makes it [Inaudible].,student,6,0,,,,و هذا يجعله (غير قابل للسمع),و هذا يجعله (غير قابل للسمع),6,0.0,False
Good.  And then Student D?,teacher,5,0,0.0,,0.0,حسناً، ثم الطالب (دي) ؟,حسنا، ثم الطالب (دي) ؟,5,0.0,False
Two out of four and I knew the – the one goes into four and one goes into [Inaudible] and two goes into four and two goes into two and it gave me one half.,student,35,0,,0.0,,اثنان من أربعة وأنا أعرف  واحد يذهب إلى أربعة و واحد يذهب إلى [Inaudible] و اثنان يذهب إلى أربعة و اثنان يذهب إلى اثنين و أعطاني نصف.,اثنان من اربعه وانا اعرف واحد يذهب الي اربعه و واحد يذهب الي [Inaudible] و اثنان يذهب الي اربعه و اثنان يذهب الي اثنين و اعطاني نصف.,26,0.2222222222222222,True
"Good.  Now I want to hear you do that for every single problem. Okay?  I want to hear you explain how you did it.  The more you explain it, you’ll never forget it.  Right?  If you keep explaining it over and over you’ll never forget how to do it.  I want to hear you guys explaining.  Go ahead, Student L.  Explain to Student J.",teacher,64,0,0.0,,1.0,جيد. الآن أريد أن أسمعك تفعل ذلك لكل مشكلة واحدة. حسناً؟ أريد أن أسمعك تفسير كيف فعلت ذلك. كلما أوضحتها أكثر، لن تنسىها أبداً. صحيح؟ إذا كنت تستمر في شرحها مراراً وتكراراً لن تنسى أبداً كيف تفعل ذلك. أريد أن أسمعكم تشرحون.,جيد. الان اريد ان اسمعك تفعل ذلك لكل مشكله واحده. حسنا؟ اريد ان اسمعك تفسير كيف فعلت ذلك. كلما اوضحتها اكثر، لن تنسيها ابدا. صحيح؟ اذا كنت تستمر في شرحها مرارا وتكرارا لن تنسي ابدا كيف تفعل ذلك. اريد ان اسمعكم تشرحون.,42,0.0,False
Okay.  [Inaudible] are 16.  Okay.  [Inaudible] 16 [Inaudible].,student,8,0,,0.0,,حسناً، [غير مسموع] هو 16 حسناً. [غير مسموع] 16 [غير مسموع].,حسنا، [غير مسموع] هو 16 حسنا. [غير مسموع] 16 [غير مسموع].,9,0.0,False
How?,teacher,1,0,0.0,,0.0,-كيف؟,-كيف؟,1,0.0,False
Because four goes into eight one time and four goes into 16 four times. [Inaudible] for simple fractions [Inaudible].,student,19,1,,1.0,,لأن أربعة تذهب إلى ثمانية مرة واحدة و أربعة تذهب إلى 16 أربعة مرات.,لان اربعه تذهب الي ثمانيه مره واحده و اربعه تذهب الي 16 اربعه مرات.,13,0.2857142857142857,True
Sh!,teacher,1,0,0.0,,0.0,اللعنة!,اللعنه!,1,0.0,False
[Inaudible] three goes into 12 four times.,student,7,0,,,,ثلاثة يذهب إلى 12 أربعة مرات.,ثلاثه يذهب الي 12 اربعه مرات.,5,0.3333333333333333,True
Keep going.  You’re not done.  That was the easy one.  That was the one that was given to you.  Now let’s do the other ones that –,teacher,27,0,0.0,,0.0,استمر. أنت لم تنتهي. هذا هو السهل. هذا هو الذي تم إعطائه لك. الآن دعونا نقوم بالآخرين,استمر. انت لم تنتهي. هذا هو السهل. هذا هو الذي تم اعطائه لك. الان دعونا نقوم بالاخرين,17,0.0,False
Okay.  We’re not given to you.  Okay.,student,7,0,,,,حسناً، نحن لسنا مُعطين لك,حسنا، نحن لسنا معطين لك,5,0.0,False
Okay.  Good.  Now you guys can describe to each other.  Sit down.  What’s your paper doing?  Put it on your desk.,teacher,21,0,0.0,,0.0,حسناً، حسناً، الآن بإمكانكم وصف بعضكم البعض، اجلسوا، ماذا تفعلون في ورقتكم؟ ضعوها على مكتبكم.,حسنا، حسنا، الان بامكانكم وصف بعضكم البعض، اجلسوا، ماذا تفعلون في ورقتكم؟ ضعوها علي مكتبكم.,15,0.0,False
"That’s [Inaudible] and all that was [Inaudible] and then multiply [Inaudible] Oh, no, no, no. [Inaudible] I think this one doesn’t have to be broken apart because [Inaudible] fits – wait [Inaudible].",student,32,1,,1.0,,هذا [الجهاز غير السمعي] وكل ما كان [الجهاز غير السمعي] ثم مضاعفة [الجهاز غير السمعي] أوه، لا، لا، لا. [الجهاز غير السمعي] أعتقد أن هذا لا يجب أن يتم تفكيكه لأن [الجهاز غير السمعي] يناسب  انتظر [الجهاز غير السمعي].,هذا [الجهاز غير السمعي] وكل ما كان [الجهاز غير السمعي] ثم مضاعفه [الجهاز غير السمعي] اوه، لا، لا، لا. [الجهاز غير السمعي] اعتقد ان هذا لا يجب ان يتم تفكيكه لان [الجهاز غير السمعي] يناسب انتظر [الجهاز غير السمعي].,39,0.0,False
Un-uh.  A ten.,teacher,3,0,0.0,,0.0,عشرة,عشره,1,1.0,True
Five.,student,1,0,,,,خمسة.,خمسه.,1,0.0,False
Uh-huh.,teacher,1,0,,,0.0,اه-ها.,اه-ها.,2,0.0,False
[Inaudible] times and nine times.,student,5,0,,,,[غير مسموع] مرات وتسعة مرات.,[غير مسموع] مرات وتسعه مرات.,5,0.0,False
Uh-huh.,teacher,1,0,0.0,,0.0,اه-ها.,اه-ها.,2,0.0,False
So this one doesn’t have to be broken apart like that.,student,11,0,,0.0,,لذلك هذا لا يجب أن يُفكك هكذا.,لذلك هذا لا يجب ان يفكك هكذا.,7,0.0,False
"Each of them.   If you have trouble finding any of the simplest fractions, each of them you can do this.",teacher,20,1,0.0,,0.0,إذا كان لديك صعوبة في العثور على أي من أبسط الكسور، يمكنك القيام بذلك.,اذا كان لديك صعوبه في العثور علي اي من ابسط الكسور، يمكنك القيام بذلك.,14,0.0,False
"But if you don’t have trouble, you don’t have to?",student,10,0,,0.0,,ولكن إذا لم يكن لديك مشاكل، أنت لا يجب أن يكون؟,ولكن اذا لم يكن لديك مشاكل، انت لا يجب ان يكون؟,11,0.0,False
If you don’t have trouble.  But let’s start at the beginning where I’m going to assume that we’re going to have trouble because we kind of just started.,teacher,28,0,1.0,,0.0,لكن دعونا نبدأ من البداية حيث سأفترض أننا سنواجه مشاكل لأننا بدأنا للتو,لكن دعونا نبدا من البدايه حيث سافترض اننا سنواجه مشاكل لاننا بدانا للتو,13,0.0,False
Like on this one?,student,4,0,,,,مثل هذه المرة؟,مثل هذه المره؟,3,0.0,False
"Yeah, that’s fine.  If you can do it in your head.",teacher,11,0,,,0.0,أجل، لا بأس، إن استطعت فعل ذلك بعقلك,اجل، لا باس، ان استطعت فعل ذلك بعقلك,8,0.0,False
Yeah!,student,1,0,,,,-أجل !,-اجل !,1,0.0,False
Excited?  Sit down.,teacher,3,0,,,0.0,هل أنت متحمس؟,هل انت متحمس؟,3,0.0,False
[Inaudible] the numbers.,student,3,0,,,,الأرقام لا يمكن سماعها,الارقام لا يمكن سماعها,4,0.0,False
"See?  The more you do this, the easier it’s going to get where you don’t need to do the factors.  You just know automatically it’s one half.  It’s one third.  Okay? Keep going, keep going.  You just started.",teacher,38,1,,,0.0,ترى؟ كلما فعلت هذا، كلما كان من السهل الحصول على حيث لا تحتاج إلى القيام بالعوامل. أنت فقط تعرف تلقائيًا أنه نصف. إنه ثلث. حسناً؟ استمر، استمر. لقد بدأت للتو.,تري؟ كلما فعلت هذا، كلما كان من السهل الحصول علي حيث لا تحتاج الي القيام بالعوامل. انت فقط تعرف تلقائيا انه نصف. انه ثلث. حسنا؟ استمر، استمر. لقد بدات للتو.,30,0.0,False
I explained [Inaudible].,student,3,0,,,,لقد شرحت [لا يمكن سماع].,لقد شرحت [لا يمكن سماع].,5,0.0,False
Every single problem.,teacher,3,0,,,0.0,كل مشكلة واحدة.,كل مشكله واحده.,3,0.0,False
Okay.,student,1,0,,,,-حسناً,-حسنا,1,0.0,False
Okay.  I’m going to give you guys a few more minutes to go over with each other how to solve the problems and then I have a game that we’re going to play.,teacher,33,0,,,0.0,حسناً، سأعطيكم بعض الدقائق لتناقشوا كيفية حل المشاكل وبعدها لدي لعبة سنلعبها,حسنا، ساعطيكم بعض الدقائق لتناقشوا كيفيه حل المشاكل وبعدها لدي لعبه سنلعبها,12,0.08333333333333333,True
Yeah! Yeah!,student,2,0,,,,أجل، أجل!,اجل، اجل!,2,0.0,False
Did you guys explain each problem?  ‘Cause that was really quick.  I don’t believe you.  It took you a while just to explain the one that was already given to you so –,teacher,33,0,,,1.0,هل شرحتم كل مشكلة؟ لأنها كانت سريعة جداً، لا أصدقكم، استغرق الأمر وقتاً طويلاً فقط لتفسير تلك التي تم إعطائها لكم,هل شرحتم كل مشكله؟ لانها كانت سريعه جدا، لا اصدقكم، استغرق الامر وقتا طويلا فقط لتفسير تلك التي تم اعطائها لكم,21,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
– I want to hear you explain.,teacher,7,0,,,1.0,أريد سماع تفسيرك,اريد سماع تفسيرك,3,0.0,False
Okay.,student,1,0,,,,-حسناً,-حسنا,1,0.0,False
I heard you guys explaining.,teacher,5,0,,,0.0,سمعتكم تشرحون,سمعتكم تشرحون,2,0.0,False
There are four people here and then two –,student,9,0,,0.0,,هناك أربعة أشخاص هنا ثم اثنان,هناك اربعه اشخاص هنا ثم اثنان,6,0.3333333333333333,True
Un-uh.  You already did that one.  I know.  [Inaudible],teacher,9,0,0.0,,0.0,لقد فعلتها بالفعل أعلم ذلك,لقد فعلتها بالفعل اعلم ذلك,5,0.0,False
[Inaudible] the simplest fraction and to have [Inaudible] and a half of four is two.,student,15,1,,0.0,,[Inaudible] الجزء الأسهل ولديهم [Inaudible] ونصف من أربعة هو اثنين.,[Inaudible] الجزء الاسهل ولديهم [Inaudible] ونصف من اربعه هو اثنين.,8,0.1,True
So then do that.  Did you and Student A explain to each other?,teacher,13,0,0.0,,1.0,إذاً افعلي ذلك هل شرحتِ أنتِ و الطالب (أ) لبعضكما البعض؟,اذا افعلي ذلك هل شرحت انت و الطالب (ا) لبعضكما البعض؟,11,0.0,False
I did.,student,2,0,,,,لقد فعلتها,لقد فعلتها,2,0.0,False
"So then you have to do that.  When she comes back you have to explain to each other, okay?",teacher,19,0,,,1.0,وعندما تعود يجب أن تشرحوا لبعضكم البعض، حسناً؟,وعندما تعود يجب ان تشرحوا لبعضكم البعض، حسنا؟,8,0.0,False
So it’s nine and ten.  So –,student,7,0,,,,لذا فهي تسعة وعشرة,لذا فهي تسعه وعشره,4,0.25,True
Did you and [Inaudible] go over it?  You’re not done.,teacher,10,0,0.0,,0.0,هل بحثت أنت و (لاسمعي) عن الأمر؟,هل بحثت انت و (لاسمعي) عن الامر؟,7,0.0,False
I was hoping –,student,4,0,,,,كنت آمل,كنت امل,2,0.0,False
You’re not done because that’s one half.  Oh.  Are you done? Not yet. Are you done now?,teacher,17,0,,,0.0,أنت لم تنتهي لأن هذا نصف. أوه. هل انتهيت؟ ليس بعد. هل انتهيت الآن؟,انت لم تنتهي لان هذا نصف. اوه. هل انتهيت؟ ليس بعد. هل انتهيت الان؟,14,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Good.  Is she doing good?  She’s getting it?,teacher,8,0,,,0.0,حسناً، هل هي بخير؟,حسنا، هل هي بخير؟,4,0.0,False
Five goes into ten.,student,4,0,,,,خمسة يذهب إلى عشرة.,خمسه يذهب الي عشره.,4,0.25,True
Probably put the calculators away.  [Inaudible] doesn’t know how to do this and this isn’t easy math.,teacher,17,0,,,0.0,من المحتمل أن تضع الحاسبات بعيداً لا يعرف كيف يفعل هذا وهذا ليس رياضيات سهلة,من المحتمل ان تضع الحاسبات بعيدا لا يعرف كيف يفعل هذا وهذا ليس رياضيات سهله,15,0.0,False
[Inaudible] this calculator.,student,3,0,,,,هذه الحاسبة.,هذه الحاسبه.,2,0.0,False
I know.  Keep right [Inaudible].  Three more minutes.,teacher,8,0,,,0.0,أعلم، ابق يميناً، ثلاث دقائق أخرى.,اعلم، ابق يمينا، ثلاث دقائق اخري.,6,0.0,False
[Inaudible].,student,1,0,,,,[غير مسموع].,[غير مسموع].,2,0.0,False
Okay.  Now I’m gonna hear [Inaudible] explain.,teacher,7,0,,,1.0,حسناً، الآن سأستمع إلى تفسيرها,حسنا، الان ساستمع الي تفسيرها,5,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Let’s go.,teacher,2,0,,,0.0,دعونا نذهب,دعونا نذهب,2,0.0,False
I don’t know.,student,3,0,,,,أنا لا أعرف.,انا لا اعرف.,3,0.0,False
What?,teacher,1,0,,,0.0,ـ ماذا؟,ماذا؟,2,0.0,False
I don’t.,student,2,0,,,,أنا لا.,انا لا.,2,0.0,False
What?,teacher,1,0,,,0.0,ـ ماذا؟,ماذا؟,2,0.0,False
I don’t.,student,2,0,,,,أنا لا.,انا لا.,2,0.0,False
Okay.  Look at what [Inaudible] is doing.  Yep.,teacher,8,0,,,0.0,حسناً، أنظر إلى ما يفعله (لا يسمعه),حسنا، انظر الي ما يفعله (لا يسمعه),7,0.0,False
"I still don’t know how to do it and when it has two like two, two, four and four.",student,19,0,,0.0,,ما زلت لا أعرف كيف أفعل ذلك وعندما يكون لديه اثنان مثل اثنان، اثنان، أربعة وأربعة.,ما زلت لا اعرف كيف افعل ذلك وعندما يكون لديه اثنان مثل اثنان، اثنان، اربعه واربعه.,16,0.125,True
What did I say to do when it has two?,teacher,10,0,1.0,,0.0,ماذا قلت لك أن تفعل عندما يكون لديه اثنين؟,ماذا قلت لك ان تفعل عندما يكون لديه اثنين؟,9,0.0,False
The biggest number.,student,3,0,,,,أكبر رقم.,اكبر رقم.,2,0.0,False
What’s the biggest number?,teacher,4,0,,,0.0,ما هو أكبر رقم؟,ما هو اكبر رقم؟,4,0.0,False
Four.,student,1,0,,,,أربعة.,اربعه.,1,0.0,False
There you go.  Do you want me to show you how I would explain?,teacher,14,0,,,1.0,هل تريدني أن أريك كيف أوضح لك؟,هل تريدني ان اريك كيف اوضح لك؟,7,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"I would say for this one.  I would say the factors of the numerator are one, two, and three.  And six.  The factors of the denominator are one, three and nine.  They both have the same factor of three.  So I divide the numerator by three and I got two.  And I divide the denominator by three and I get –",teacher,61,8,,,0.0,سأقول لهذا. سأقول أن عوامل العدادة هي واحد، اثنان، وثلاثة. وستة. عوامل المعادلة هي واحد، ثلاثة، وتسعة. كلاهما لديه نفس العاملة من ثلاثة. لذلك أنا أجزأ العدادة على ثلاثة وأحصل على اثنين. وأنا أجزأ المعادل على ثلاثة وأحصل على ,ساقول لهذا. ساقول ان عوامل العداده هي واحد، اثنان، وثلاثه. وسته. عوامل المعادله هي واحد، ثلاثه، وتسعه. كلاهما لديه نفس العامله من ثلاثه. لذلك انا اجزا العداده علي ثلاثه واحصل علي اثنين. وانا اجزا المعادل علي ثلاثه واحصل علي,39,0.10256410256410256,True
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Nine divided by three is five?,teacher,6,1,,,0.0,تسعة مقسومة بثلاثة هي خمسة؟,تسعه مقسومه بثلاثه هي خمسه؟,5,0.2,True
Oh.  Nine divided by three.  Three?,student,6,1,,,,تسعة مقسمة على ثلاثة ثلاثة؟,تسعه مقسمه علي ثلاثه ثلاثه؟,5,0.4,True
"Yeah.  So, change it.",teacher,4,0,0.0,,0.0,أجل، لذا، غيّره,اجل، لذا، غيره,3,0.0,False
It’s two thirds.,student,3,0,,,,إنها ثلثين,انها ثلثين,2,0.0,False
"Two thirds, exactly.  Good.  Okay.  I want you guys to explain to each other.",teacher,14,0,,,0.0,حسناً أريدكم أن تشرحوا لبعضكم البعض,حسنا اريدكم ان تشرحوا لبعضكم البعض,6,0.0,False
I found this out because it says one out of three and that’s – wait.  One. [Inaudible],student,17,0,,0.0,,لقد اكتشفت هذا لأنه يقول واحد من كل ثلاثة و هذا   إنتظر. واحد. [غير مستمع],لقد اكتشفت هذا لانه يقول واحد من كل ثلاثه و هذا انتظر. واحد. [غير مستمع],15,0.06666666666666667,True
"Nah, you’re fine.",teacher,3,0,0.0,,0.0,لا، أنت بخير.,لا، انت بخير.,3,0.0,False
Because it says one –,student,5,0,,,,لأنه يقول واحد ,لانه يقول واحد,3,0.0,False
Sh!,teacher,1,0,0.0,,0.0,اللعنة!,اللعنه!,1,0.0,False
"Ah wait, wait. [Inaudible] four.",student,5,0,,,,مهلاً، مهلاً، أربعة,مهلا، مهلا، اربعه,3,0.3333333333333333,True
Okay.  Start finishing up.  Do your very last problem.,teacher,9,0,0.0,,0.0,حسناً، ابدأ بالانتهاء، إنجز آخر مشاكلك,حسنا، ابدا بالانتهاء، انجز اخر مشاكلك,6,0.0,False
Is this [Inaudible]?,student,3,0,,,,هَلْ هَذَا [لا يُسمَعُ]؟,هل هذا [لا يسمع]؟,5,0.0,False
Yes.,teacher,1,0,,,0.0,-أجل، أجل,-اجل، اجل,2,0.0,False
[How do you] [Inaudible]?,student,4,0,,,,كيف حالك؟,كيف حالك؟,2,0.0,False
Because I didn’t hear you explain to Student Y.  Is this one whole?,teacher,13,1,,,0.0,لأنني لم أسمعك تشرح للطلاب ي. هل هذا واحد كامل؟,لانني لم اسمعك تشرح للطلاب ي. هل هذا واحد كامل؟,10,0.0,False
Because a whole is [Inaudible].,student,5,1,,,,لأن الكامل هو [غير قابل للسمع].,لان الكامل هو [غير قابل للسمع].,6,0.0,False
What are the factors of two?,teacher,6,1,0.0,,0.0,ما هي العوامل الثانية؟,ما هي العوامل الثانيه؟,4,0.0,False
"One, two.",student,2,0,,,,واحد، اثنان.,واحد، اثنان.,2,0.0,False
"I just did this.  I don’t get it.  One, two.  What are the factors of four?",teacher,16,1,,,0.0,لقد فعلت هذا للتو. لا أفهم ذلك. واحد، اثنان. ما هي عوامل أربعة؟,لقد فعلت هذا للتو. لا افهم ذلك. واحد، اثنان. ما هي عوامل اربعه؟,13,0.07692307692307693,True
"One, two, four.",student,3,0,,,,واحد، اثنان، أربعة.,واحد، اثنان، اربعه.,3,0.0,False
Good.  So then what number do you divide by?,teacher,9,1,,,0.0,حسناً، إذاً ما هو الرقم الذي تقسيمه؟,حسنا، اذا ما هو الرقم الذي تقسيمه؟,7,0.0,False
Two?,student,1,0,,,,اثنان؟,اثنان؟,1,0.0,False
So what’s two divided by two?,teacher,6,1,,,0.0,اذاً ما هو 2 مقسوم على 2؟,اذا ما هو 2 مقسوم علي 2؟,6,0.14285714285714285,True
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
What’s four divided by two?,teacher,5,1,,,0.0,ما هو أربعة مقسومة على اثنين؟,ما هو اربعه مقسومه علي اثنين؟,6,0.16666666666666666,True
Two.,student,1,0,,,,اثنان.,اثنان.,1,0.0,False
"So then is it two over two?  For every single one of them, I want you to – this one’s fine.  This one’s good.  Good. The rest of them are good.",teacher,31,0,,,0.0,إذاً فهل هو اثنان على اثنين؟ بالنسبة لكل واحد منهم، أريد منك أن تقرر أن هذا جيد. هذا جيد. جيد. البقية جيدة.,اذا فهل هو اثنان علي اثنين؟ بالنسبه لكل واحد منهم، اريد منك ان تقرر ان هذا جيد. هذا جيد. جيد. البقيه جيده.,22,0.045454545454545456,True
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Good.  Keep going.,teacher,3,0,,,0.0,حسناً، استمر,حسنا، استمر,2,0.0,False
I did [Inaudible]. Because she told me what she did was she colored in what it said on the top.,student,20,0,,0.0,,لأنها أخبرتني بأن ما فعلته هو أنّها ألغت بالألوان التي كانت مكتوبة على القمة,لانها اخبرتني بان ما فعلته هو انها الغت بالالوان التي كانت مكتوبه علي القمه,14,0.0,False
"Yep.  She’s right.  Yep. If there are 16 pieces, which they are, you have to color in the numerator.",teacher,19,1,1.0,,0.0,نعم، إنها محقة، نعم، إذا كان هناك 16 قطعة، والتي هي، عليك أن تلوين في العداد.,نعم، انها محقه، نعم، اذا كان هناك 16 قطعه، والتي هي، عليك ان تلوين في العداد.,15,0.0,False
Okay.,student,1,0,,,,-حسناً,-حسنا,1,0.0,False
You did it fine.,teacher,4,0,,,0.0,لقد فعلتها بشكل جيد,لقد فعلتها بشكل جيد,4,0.0,False
Wait.  I have to color – oh!   I have to do a [Inaudible] .,student,14,0,,0.0,,مهلاً، عليّ أن ألوّن (أوه) عليّ أن أقوم بـ (لا يُسمع),مهلا، علي ان الون (اوه) علي ان اقوم ب (لا يسمع),11,0.0,False
You colored in a fourth.  You’ve got a third.,teacher,9,0,1.0,,0.0,لقد رسمت في الرابع، حصلت على الثالث.,لقد رسمت في الرابع، حصلت علي الثالث.,7,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
Just color one more.,teacher,4,0,,,0.0,فقط لون واحد أكثر.,فقط لون واحد اكثر.,4,0.0,False
"Just color one more. Yeah, but now there’s [Inaudible].",student,9,0,,0.0,,نعم، لكن الآن هناك (لا يمكن سماعها),نعم، لكن الان هناك (لا يمكن سماعها),7,0.0,False
"No, it’s not.  It’s the same thing.",teacher,7,0,0.0,,0.0,لا، ليس كذلك، إنه نفس الشيء,لا، ليس كذلك، انه نفس الشيء,6,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"Okay.  So, [Inaudible] to get out of your seat.  So now what I want you to do is I want you to clear your desks. Questions on what we did?",teacher,30,0,,,1.0,حسناً، إذاً، أخرج من مقعدك، والآن أريدك أن تنظف مكتبك، أسئلة حول ما فعلناها؟,حسنا، اذا، اخرج من مقعدك، والان اريدك ان تنظف مكتبك، اسئله حول ما فعلناها؟,14,0.0,False
No.,multiple students,1,0,,,,-كلا .,-كلا .,1,0.0,False
Sure?,teacher,1,0,,,0.0,-أأنت متأكد؟,-اانت متاكد؟,2,0.0,False
Yes.,multiple students,1,0,,,,-أجل، أجل,-اجل، اجل,2,0.0,False
Some of you had a little bit of difficulty.,teacher,9,0,,,0.0,بعضكم كان لديه بعض الصعوبات,بعضكم كان لديه بعض الصعوبات,5,0.0,False
I did.  I did.,student,4,0,,,,لقد فعلت، فعلت,لقد فعلت، فعلت,3,0.0,False
Let’s try one as a class together.  You like it?,teacher,10,0,,,0.0,دعونا نحاول واحدة في الصف معاً، أتحبينها؟,دعونا نحاول واحده في الصف معا، اتحبينها؟,7,0.0,False
"Yeah, it’s hard. I love it.",student,6,0,,,,أجل، إنه صعب، أحب ذلك.,اجل، انه صعب، احب ذلك.,5,0.0,False
Sh! What do we have to do first?  What do you have to do first? [Inaudible]?,teacher,16,0,0.0,,0.0,ماذا علينا أن نفعل أولاً؟ ماذا عليك أن تفعل أولاً؟,ماذا علينا ان نفعل اولا؟ ماذا عليك ان تفعل اولا؟,10,0.0,False
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False
"See what number goes into the numerator and see what numbers go into the denominator.  So, what are the factors of three?",teacher,22,3,,,0.0,انظروا ما هو العدد الذي يدخل في العداد و انظروا ما هو العدد الذي يدخل في المسمي,انظروا ما هو العدد الذي يدخل في العداد و انظروا ما هو العدد الذي يدخل في المسمي,17,0.0,False
One and three.,student,3,0,,,,واحد وثلاثة,واحد وثلاثه,2,0.0,False
"What are the factors of 15, Student R?",teacher,8,1,,,0.0,ما هو العوامل لـ 15، الطالب R؟,ما هو العوامل ل 15، الطالب R؟,7,0.0,False
"15, [Inaudible].",student,2,0,,,,15، [غير قابل للسمع].,15، [غير قابل للسمع].,4,0.0,False
"Ten?  Ten goes into 15?  No.  Okay, what number do they have in common?  Wait.",teacher,15,0,,,1.0,حسناً، ما هو الرقم المشترك بينهما؟ انتظر.,حسنا، ما هو الرقم المشترك بينهما؟ انتظر.,7,0.0,False
You’re missing one.,student,3,0,,,,أنت تفتقد واحدة.,انت تفتقد واحده.,3,0.0,False
"She is missing one.  What is she missing, Student J?",teacher,10,0,,,0.0,إنّها تفتقد واحدة، ماذا تفتقد، الطالب (جي) ؟,انها تفتقد واحده، ماذا تفتقد، الطالب (جي) ؟,8,0.0,False
Three.,student,1,0,,,,ثلاثة.,ثلاثه.,1,0.0,False
