text,speaker,talktime_words,math_density,uptake,student_reasoning,focusing_questions,text_arabic,text_arabic_normalized,talktime_words_arabic,math_density_arabic,has_math_arabic,session_id
How many days are in 5 lo –?,student,8,0,,0.0,,كم يوم بعد 5 أيام؟,كم يوم بعد 5 ايام؟,4,0.0,False,16
Lunar.,teacher,1,0,0.0,,0.0,القمر.,القمر.,1,0.0,False,16
Lunar months.,student,2,0,,,,أشهر القمر,اشهر القمر,2,0.0,False,16
"How many days are in 5 lunar months?  So my answer is a label of days.  So this is an example of breaking it up by place. Can I just for a show of hands show me who likes this strategy?  Student A, is this strategy working for you? Show of hands honey.",teacher,53,0,,,0.0,كم عدد الأيام في 5 أشهر قمرية؟ إذن إجابتي هي علامة الأيام. وهذه مثال على تقسيمها حسب المكان. هل يمكن أن أظهر لي فقط لعرض اليدين من يحب هذه الاستراتيجية؟ الطالب A، هل هذه الاستراتيجية تعمل بالنسبة لك؟,كم عدد الايام في 5 اشهر قمريه؟ اذن اجابتي هي علامه الايام. وهذه مثال علي تقسيمها حسب المكان. هل يمكن ان اظهر لي فقط لعرض اليدين من يحب هذه الاستراتيجيه؟ الطالب A، هل هذه الاستراتيجيه تعمل بالنسبه لك؟,37,0.0,False,16
[Inaudible].,student,1,0,,,,[غير مسموع].,[غير مسموع].,2,0.0,False,16
"Okay.  Student C, what’s the strategy that you used today, nice and loud?",teacher,13,0,,,0.0,حسناً، الطالب (سي) ، ما هي الاستراتيجية التي استخدمتها اليوم؟,حسنا، الطالب (سي) ، ما هي الاستراتيجيه التي استخدمتها اليوم؟,10,0.0,False,16
I separated –,student,3,0,,,,لقد انفصلت,لقد انفصلت,2,0.0,False,16
"Yeah, go ahead, you separated – can you not play with papers here?  It’s distracting and it’s making the noise being heard.  You should be open to page 61.  Okay.  Student [A], go ahead and speak.",teacher,36,0,,,0.0,نعم، هيّا، أنتِ انفصلتِ هل يمكنكِ أن لا تلعبين بالأوراق هنا؟ إنها تشتت و هي تسبب الضوضاء التي تسمعينها. يجب أن تكوني مفتوحة للصفحة 61. حسناً. الطالب [A]، هيّا وتحدث.,نعم، هيا، انت انفصلت هل يمكنك ان لا تلعبين بالاوراق هنا؟ انها تشتت و هي تسبب الضوضاء التي تسمعينها. يجب ان تكوني مفتوحه للصفحه 61. حسنا. الطالب [A]، هيا وتحدث.,29,0.0,False,16
I started out –,student,4,0,,,,لقد بدأت,لقد بدات,2,0.0,False,16
Your eyes should turn to Student [A].  That’s the class rule.,teacher,11,0,,,0.0,يجب أن تنظر إلى الطالب، هذه هي قاعدة الفصل,يجب ان تنظر الي الطالب، هذه هي قاعده الفصل,9,0.2222222222222222,True,16
I started out with 20 and 8.,student,7,0,,,,لقد بدأت مع 20 و 8.,لقد بدات مع 20 و 8.,4,0.0,False,16
She split up 20 and 8.,teacher,6,0,1.0,,0.0,لقد تقسمت 20 و 8.,لقد تقسمت 20 و 8.,3,0.0,False,16
And it was 14 and then I did 14 again and I did 14 times 5 equals 70.  And then 14 times 5 equals 70.  And then I got 70 and 70 equals 140.,student,34,0,,0.0,,وكانت 14 ثم فعلت 14 مرة أخرى و فعلت 14 × 5 يساوي 70. ثم 14 × 5 يساوي 70.,وكانت 14 ثم فعلت 14 مره اخري و فعلت 14 × 5 يساوي 70. ثم 14 × 5 يساوي 70.,10,0.1,True,16
"Okay, so can I put that in words, I mean numbers?  So she started with 28 times 5.  Now Student A, pay attention to this one ‘cause this isn’t the place value way, but this is another way of breaking up numbers, okay?  So thinking of the double, she said 28 is the same as a 14 and a 14. So let me just draw that array.  A 5 by 28 array.  Cut it right down the middle, you’ve got 14, 14.  Okay?  So 5 times 14, two small arrays.  Alright.  Thanks Student [A]. Alright.  Anybody else.  A different one of these?  A different way to break up numbers?  Student [E]?",teacher,111,4,1.0,,1.0,حسناً، هل يمكنني أن أضع ذلك في الكلمات، أعني الأرقام؟ لذا بدأت بـ 28 × 5. الآن الطالب A، انتبه إلى هذا لأن هذه ليست طريقة قيمة المكان، ولكن هذه طريقة أخرى لتقسيم الأرقام، حسناً؟ فكرت في المضاعفة، قالت 28 هو نفس 14 و 14. لذا دعوني فقط رسم هذا الترتيب. 5 × 28 الترتيب. قطعها إلى الوسط، لديك 14، حسناً؟ 5 × 14، اثنين من الترتيبات الصغيرة. حسناً. شكراً الطالب A. حسناً. أي شخص آخر. طريقة مختلفة من هذه؟ طريقة مختلفة لتقسيم الأرقام؟ الطالب E؟,حسنا، هل يمكنني ان اضع ذلك في الكلمات، اعني الارقام؟ لذا بدات ب 28 × 5. الان الطالب A، انتبه الي هذا لان هذه ليست طريقه قيمه المكان، ولكن هذه طريقه اخري لتقسيم الارقام، حسنا؟ فكرت في المضاعفه، قالت 28 هو نفس 14 و 14. لذا دعوني فقط رسم هذا الترتيب. 5 × 28 الترتيب. قطعها الي الوسط، لديك 14، حسنا؟ 5 × 14، اثنين من الترتيبات الصغيره. حسنا. شكرا الطالب A. حسنا. اي شخص اخر. طريقه مختلفه من هذه؟ طريقه مختلفه لتقسيم الارقام؟ الطالب E؟,74,0.0116279069767441,True,16
I broke up –,student,4,0,,,,لقد انفصلت,لقد انفصلت,2,0.0,False,16
Your eyes should be turning to Student [E]; he’s the person speaking.,teacher,12,0,,,0.0,يجب أن تلتفت عينيك إلى الطالب [E]؛ إنه الشخص الذي يتحدث.,يجب ان تلتفت عينيك الي الطالب [E]؛ انه الشخص الذي يتحدث.,11,0.0,False,16
I broke up –,student,4,0,,,,لقد انفصلت,لقد انفصلت,2,0.0,False,16
Can I have this so I can turn it in please?  You’re on camera now.,teacher,15,0,,,0.0,هل يمكن أن أحصل على هذا حتى أتمكن من تسليمها من فضلك؟,هل يمكن ان احصل علي هذا حتي اتمكن من تسليمها من فضلك؟,12,0.0,False,16
I need to give to –,student,6,0,,,,أنا بحاجة إلى إعطاء,انا بحاجه الي اعطاء,4,0.0,False,16
"You’re going down to the office.  Let’s go.  I’m not gonna play games with you, Student J.  I asked for the envelope now please.",teacher,24,0,0.0,,0.0,أنت ذاهب إلى المكتب، لنذهب لنلعب ألعاب معك، الطالب ج.,انت ذاهب الي المكتب، لنذهب لنلعب العاب معك، الطالب ج.,10,0.0,False,16
I have to go down to –,student,7,0,,,,يجب ان انزل الى,يجب ان انزل الي,4,0.0,False,16
You have until three to pass it in my hand.  One –,teacher,12,0,0.0,,0.0,لديك حتى ثلاثة لتمريرها في يدي.,لديك حتي ثلاثه لتمريرها في يدي.,6,0.1666666666666666,True,16
Can I go downstairs –?,student,5,0,,,,هل يمكنني النزول للأسفل؟,هل يمكنني النزول للاسفل؟,4,0.0,False,16
"Student J, I know that; you can have it back.  Two.  I’m not kidding with you.",teacher,16,0,0.0,,0.0,الطالب (جاي) ، أعلم ذلك، يمكنك إرجاعه.,الطالب (جاي) ، اعلم ذلك، يمكنك ارجاعه.,7,0.0,False,16
What did I do?,student,4,0,,,,ماذا فعلت؟,ماذا فعلت؟,2,0.0,False,16
Three.  Pass the envelope to me and put it on my desk.,teacher,12,0,,,0.0,ثلاثة، أعطني المغلف وضعه على مكتبي,ثلاثه، اعطني المغلف وضعه علي مكتبي,6,0.0,False,16
What did I do?,student,4,0,,,,ماذا فعلت؟,ماذا فعلت؟,2,0.0,False,16
This is not a smart choice.,teacher,6,0,,,0.0,هذا ليس خياراً ذكياً,هذا ليس خيارا ذكيا,4,0.0,False,16
"What did I do? No, it’s a [inaudible].",student,8,0,,0.0,,ماذا فعلت؟ لا، إنه (غير مُسمع),ماذا فعلت؟ لا، انه (غير مسمع),6,0.0,False,16
"Student N?  Thank you.  Boys and girls, I want to remind you. When somebody is sharing, you do not belong drawing on your notebooks.  You belong looking at the child speaking.  It’s unacceptable to do anything other than that. Student [E], speak in a louder voice.  All eyes should be on him.  Go ahead.",teacher,54,0,0.0,,0.0,الطالب ن؟ شكراً لكم. الفتيان والفتيات، أريد أن أذكركم. عندما يشارك شخص ما، أنت لا تنتمي إلى الرسم على دفتر الملاحظات الخاصة بك. أنت تنتمي إلى النظر إلى الطفل يتحدث. من غير المقبول أن تفعل أي شيء غير ذلك. الطالب [E]، تحدث بصوت أعلى. يجب أن تكون كل العيون عليه. اذهب.,الطالب ن؟ شكرا لكم. الفتيان والفتيات، اريد ان اذكركم. عندما يشارك شخص ما، انت لا تنتمي الي الرسم علي دفتر الملاحظات الخاصه بك. انت تنتمي الي النظر الي الطفل يتحدث. من غير المقبول ان تفعل اي شيء غير ذلك. الطالب [E]، تحدث بصوت اعلي. يجب ان تكون كل العيون عليه. اذهب.,51,0.0,False,16
I –,student,2,0,,,,أنا ,انا,1,0.0,False,16
Louder.,teacher,1,0,,,0.0,بصوت أعلى,بصوت اعلي,2,0.0,False,16
"I broke 28 into 14 and 18 and then I took the 5 lunar months and I put the numbers together, 14 and [inaudible].",student,24,0,,0.0,,لقد كسرت 28 إلى 14 و 18 ثم أخذت 5 أشهر قمرية وضعت الأرقام معا، 14 و [غير قابل للسمع].,لقد كسرت 28 الي 14 و 18 ثم اخذت 5 اشهر قمريه وضعت الارقام معا، 14 و [غير قابل للسمع].,15,0.0,False,16
"Okay.  Can I ask you to do something for me?  Can you look at how Student [A] showed it and ask yourself is there anything different?  It’s important to listen to your classmates, okay? Alright.  I’m gonna ask a question.  Did anybody try to find an equivalent problem?  Student N, your eyes should be on me please.  You did?  Alright Student A.  What do you think? Loud and clear.  Everyone’s eyes on here.  This is the strategy that I was really hoping someone would give a shot.  Go ahead.",teacher,89,1,1.0,,1.0,حسناً. هل يمكنني أن أطلب منك أن تفعل شيئاً من أجلي؟ هل يمكنك أن تنظر إلى كيفية عرض الطالب [أ] و تسأل نفسك إذا كان هناك أي شيء مختلف؟ من المهم أن تستمع إلى زملائك في الصف، حسناً؟ حسناً. سأطرح سؤالاً. هل حاول أي شخص العثور على مشكلة مماثلة؟ الطالب N، يجب أن تكون عيناك علي من فضلك. فعلت؟ حسناً الطالب A. ما رأيك؟ بصوت عال وواضح. الجميع ينظرون إلى هنا. هذه هي الاستراتيجية التي كنت آمل حقاً أن يمنح أحدهم فرصة. هيا.,حسنا. هل يمكنني ان اطلب منك ان تفعل شيئا من اجلي؟ هل يمكنك ان تنظر الي كيفيه عرض الطالب [ا] و تسال نفسك اذا كان هناك اي شيء مختلف؟ من المهم ان تستمع الي زملائك في الصف، حسنا؟ حسنا. ساطرح سؤالا. هل حاول اي شخص العثور علي مشكله مماثله؟ الطالب N، يجب ان تكون عيناك علي من فضلك. فعلت؟ حسنا الطالب A. ما رايك؟ بصوت عال وواضح. الجميع ينظرون الي هنا. هذه هي الاستراتيجيه التي كنت امل حقا ان يمنح احدهم فرصه. هيا.,82,0.0120481927710843,True,16
I did 10 times 5 and then 10 times 5 and then I did 4 times 5 and 4 times 5.,student,21,0,,0.0,,لقد فعلت 10 × 5 ثم 10 × 5 ثم فعلت 4 × 5 و 4 × 5.,لقد فعلت 10 × 5 ثم 10 × 5 ثم فعلت 4 × 5 و 4 × 5.,6,0.0,False,16
"Okay.  So it seems to me, because you didn’t double anything and half anything, that you really were doing this strategy of breaking up the numbers in another way.  Okay? If you look at this, what did Student [A] tell us the half of 28 was ‘cause she started to do some of this work.  Student M, what did she say?",teacher,61,0,0.0,,1.0,حسناً. لذلك يبدو لي، لأنك لم تضاعف أي شيء ونصف أي شيء، أنك كنت حقاً تقوم بهذه الاستراتيجية من تقسيم الأرقام بطريقة أخرى. حسناً؟ إذا نظرت إلى هذا، ما الذي قاله لنا الطالب [A] نصف 28 كان بسبب أنها بدأت في القيام ببعض هذا العمل. الطالب M، ماذا قالت؟,حسنا. لذلك يبدو لي، لانك لم تضاعف اي شيء ونصف اي شيء، انك كنت حقا تقوم بهذه الاستراتيجيه من تقسيم الارقام بطريقه اخري. حسنا؟ اذا نظرت الي هذا، ما الذي قاله لنا الطالب [A] نصف 28 كان بسبب انها بدات في القيام ببعض هذا العمل. الطالب M، ماذا قالت؟,47,0.0204081632653061,True,16
[Inaudible].  Wait.,student,2,0,,,,انتظروا,انتظروا,1,0.0,False,16
"She already got us started on the doubles.  What did she say? Student C, what did she say?",teacher,18,0,,,1.0,لقد جعلتنا نبدأ في المزدوج ماذا قالت؟,لقد جعلتنا نبدا في المزدوج ماذا قالت؟,7,0.0,False,16
She took 70 and 70 and doubled it and made 140.,student,11,0,,0.0,,لقد أخذت 70 و 70 و ضاعفتها و جعلت 140.,لقد اخذت 70 و 70 و ضاعفتها و جعلت 140.,7,0.0,False,16
"So she took her answer as 70 and 70 equaling 140; that was a double.  But even before she did that, there was another double she already had seen.  Student N, what was it? Thanks Student C.",teacher,37,0,1.0,,0.0,لذا أخذت إجابتها 70 و 70 يساوي 140، وهذا كان مزدوجاً. ولكن حتى قبل أن تفعل ذلك، كان هناك مزدوجاً آخر رأتها بالفعل. الطالب N، ما كان ذلك؟ شكراً الطالب C.,لذا اخذت اجابتها 70 و 70 يساوي 140، وهذا كان مزدوجا. ولكن حتي قبل ان تفعل ذلك، كان هناك مزدوجا اخر راتها بالفعل. الطالب N، ما كان ذلك؟ شكرا الطالب C.,28,0.032258064516129,True,16
She broke the 28 into 14 and then she [inaudible].,student,10,0,,0.0,,لقد كسرت الـ28 إلى الـ14 ومن ثم كانت غير مسمعة,لقد كسرت ال28 الي ال14 ومن ثم كانت غير مسمعه,10,0.0,False,16
"Okay, but what did she find the double of?",teacher,9,0,1.0,,0.0,حسناً، لكن ما الذي عثرت عليه؟,حسنا، لكن ما الذي عثرت عليه؟,6,0.0,False,16
28.,student,1,0,,,,28.,28.,0,0.0,False,16
"28.  So she said that 28, its half is a 14.  So she cuts this side in half.",teacher,18,0,,,0.0,28، لذا قالت أن 28، ونصفها هو 14، لذا قصت هذا الجانب إلى النصف.,28، لذا قالت ان 28، ونصفها هو 14، لذا قصت هذا الجانب الي النصف.,14,0.0,False,16
Oh!,student,1,0,,,,-أوه,-اوه,1,0.0,False,16
"What would she do to the 5?  If she cuts one side in half, what does she do to the other side?",teacher,22,0,,,1.0,ماذا ستفعل بالخمسة؟ إذا قطعت جانبها إلى النصف، ماذا ستفعل بالجانب الآخر؟,ماذا ستفعل بالخمسه؟ اذا قطعت جانبها الي النصف، ماذا ستفعل بالجانب الاخر؟,12,0.0,False,16
She cut it to 10.  She –,student,7,0,,,,لقد خفضتها إلى عشرة,لقد خفضتها الي عشره,4,0.25,True,16
"What could she now do to try this strategy?  If she cuts this side in half, on the other side she can –?",teacher,23,0,1.0,,0.0,ماذا يمكن أن تفعل الآن لتجربة هذه الاستراتيجية؟ إذا قصت هذا الجانب إلى النصف، على الجانب الآخر يمكنها؟,ماذا يمكن ان تفعل الان لتجربه هذه الاستراتيجيه؟ اذا قصت هذا الجانب الي النصف، علي الجانب الاخر يمكنها؟,18,0.0,False,16
Add another 14?,student,3,1,,,,إضافة 14 آخر؟,اضافه 14 اخر؟,2,0.3333333333333333,True,16
No.,teacher,1,0,,,0.0,-كلا .,-كلا .,1,0.0,False,16
Oh.,student,1,0,,,,-أوه .,-اوه .,1,0.0,False,16
Add another –?,teacher,3,1,,,0.0,إضافة آخر ؟,اضافه اخر ؟,3,0.3333333333333333,True,16
5.,student,1,0,,,,5 .,5 .,0,0.0,False,16
"5.  So, if she does half of one factor – Student D – then she doubles the other factor.  So what is the double of 5?",teacher,26,0,,,0.0,إذاً، إذا جعلت نصف العامل واحد  الطالب D  ثم تضاعف العامل الآخر.,اذا، اذا جعلت نصف العامل واحد الطالب D ثم تضاعف العامل الاخر.,11,0.0833333333333333,True,16
10.,student,1,0,,,,عشرة,عشره,1,1.0,True,16
10.,teacher,1,0,,,0.0,عشرة,عشره,1,1.0,True,16
So 14 times 10 equals 140.,student,6,0,,,,اذاً 14 × 10 يساوي 140,اذا 14 × 10 يساوي 140,2,0.1666666666666666,True,16
So 14 times 10 equals –?,teacher,6,0,1.0,,0.0,اذاً 14 × 10 يساوي ؟,اذا 14 × 10 يساوي ؟,3,0.1666666666666666,True,16
140.,multiple students,1,0,,,,140.,140.,0,0.0,False,16
"140.  So these are two equivalent equations right here, right? So this is that strategy that’s out there.  Before I think I worded it wrong.  I said what’s the double of 28.  The double of 28 is 56.  That didn’t make any sense.  But I’m glad I got the right answer.  “What’s the half I should have said of 28.  Okay?",teacher,61,2,,,0.0,140. وهذه معادلات متساوية هنا، أليس كذلك؟ وهذه هي الاستراتيجية التي هناك. قبل أن أعتقد أنني صيغتها بشكل خاطئ. قلت ما هو مزدوج من 28. مزدوج من 28 هو 56. هذا لم يكن منطقيا. ولكن أنا سعيدة أنني حصلت على الإجابة الصحيحة.,140. وهذه معادلات متساويه هنا، اليس كذلك؟ وهذه هي الاستراتيجيه التي هناك. قبل ان اعتقد انني صيغتها بشكل خاطئ. قلت ما هو مزدوج من 28. مزدوج من 28 هو 56. هذا لم يكن منطقيا. ولكن انا سعيده انني حصلت علي الاجابه الصحيحه.,38,0.0238095238095238,True,16
That’s 14.,student,2,0,,,,هذا هو 14.,هذا هو 14.,2,0.0,False,16
"That’s 14.  So, when you’re working on your homework tonight, on your multiplication problems, use a strategy that works for you, but try it a second way and just give this one a shot and see if you can find the double of one factor and the half of another and it will equal the same answer and it will be easier for you to solve.  Okay? Alright, please put math binders away.  It’s time to get ready for reading.  We’ll take it out after.  I’m not sure if I want it in this unit or some other review sheet.",teacher,100,2,,,0.0,لذلك، عندما تعمل على واجبك المنزلي الليلة، على مشاكل الضربة الخاصة بك، استخدم استراتيجية التي تعمل بالنسبة لك، ولكن جربها بالطريقة الثانية فقط إعطاء هذه فرصة واحدة ومعرفة ما إذا كنت يمكن العثور على ضعف عامل واحد ونصف آخر وسوف تساوي نفس الإجابة وسيكون من السهل بالنسبة لك لحلها. حسنا؟ حسنا، من فضلك ضع ربطات الرياضيات بعيدا. حان الوقت للتحضير للقراءة. سوف نخرجها بعد ذلك. أنا لست متأكدا إذا كنت أريد ذلك في هذه الوحدة أو أي ورقة مراجعة أخرى.,لذلك، عندما تعمل علي واجبك المنزلي الليله، علي مشاكل الضربه الخاصه بك، استخدم استراتيجيه التي تعمل بالنسبه لك، ولكن جربها بالطريقه الثانيه فقط اعطاء هذه فرصه واحده ومعرفه ما اذا كنت يمكن العثور علي ضعف عامل واحد ونصف اخر وسوف تساوي نفس الاجابه وسيكون من السهل بالنسبه لك لحلها. حسنا؟ حسنا، من فضلك ضع ربطات الرياضيات بعيدا. حان الوقت للتحضير للقراءه. سوف نخرجها بعد ذلك. انا لست متاكدا اذا كنت اريد ذلك في هذه الوحده او اي ورقه مراجعه اخري.,80,0.0125,True,16
Okay.  Let’s begin.  Objective reader.  Who’s my objective reader?  Student E?  Go ahead and read the math objectives for today.,teacher,20,0,,,0.0,حسناً، دعونا نبدأ. القارئ المستهدف. من هو القارئ المستهدف؟ الطالب إيه؟ إذهب وقرأ أهداف الرياضيات اليوم.,حسنا، دعونا نبدا. القارئ المستهدف. من هو القارئ المستهدف؟ الطالب ايه؟ اذهب وقرا اهداف الرياضيات اليوم.,16,0.0,False,17
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False,17
"Okay, now, use a voice in which we can all hear you.  So go back and read it again using a big boy voice.",teacher,24,0,,,0.0,حسناً، الآن، استخدم صوتاً يمكننا سماعك جميعاً، لذا عد وأقرأه مرة أخرى باستخدام صوت صبي كبير.,حسنا، الان، استخدم صوتا يمكننا سماعك جميعا، لذا عد واقراه مره اخري باستخدام صوت صبي كبير.,16,0.0,False,17
Students will be able to find the simplest form of fractions. Students will be able to explain their solutions to a partner.,student,22,2,,0.0,,سيتمكن الطلاب من العثور على أبسط شكل من أشكال الكسور. سيتمكن الطلاب من شرح حلولهم إلى شريك.,سيتمكن الطلاب من العثور علي ابسط شكل من اشكال الكسور. سيتمكن الطلاب من شرح حلولهم الي شريك.,17,0.0,False,17
Much better.  Okay.  I’m going to put a fraction on the board. I want you to put that fraction in its simplest form. [Whispering in Spanish],teacher,26,2,1.0,,0.0,أفضل بكثير. حسناً، سأضع جزءاً على اللوحة. أريدك أن تضع هذا الجزء في أبسط شكله.,افضل بكثير. حسنا، ساضع جزءا علي اللوحه. اريدك ان تضع هذا الجزء في ابسط شكله.,15,0.0,False,17
Forty.  Forty.  [Inaudible],student,3,0,,,,أربعين، أربعين.,اربعين، اربعين.,2,0.0,False,17
"When you have figured it out, raise your hand.  And I want you to share how you figured out how to get the simplest form of a fraction.  You’re making it bigger.  Is that what simple means?  What does simple mean?  To make it bigger or smaller?",teacher,47,1,,,1.0,عندما تكتشف ذلك، ارفع يديك. وأريدك أن تشارك كيف اكتشفت كيفية الحصول على أبسط شكل من الكسور. أنت تجعلها أكبر. هل هذا ما يعني بسيط؟ ماذا يعني بسيط؟ تجعله أكبر أو أصغر؟,عندما تكتشف ذلك، ارفع يديك. واريدك ان تشارك كيف اكتشفت كيفيه الحصول علي ابسط شكل من الكسور. انت تجعلها اكبر. هل هذا ما يعني بسيط؟ ماذا يعني بسيط؟ تجعله اكبر او اصغر؟,32,0.0,False,17
Smaller.,student,1,0,,,,أصغر,اصغر,1,0.0,False,17
"Okay.   Student L, how did you get the simplest fraction?",teacher,10,1,,,1.0,حسناً، الطالب (إل) ، كيف حصلت على أبسط جزء؟,حسنا، الطالب (ال) ، كيف حصلت علي ابسط جزء؟,9,0.0,False,17
Ten goes into eighty eight times and then ten goes into 200 twenty times.,student,14,0,,0.0,,عشرة تذهب إلى ثمانين وثمانين مرة ثم عشرة تذهب إلى مائة وعشرين مرة.,عشره تذهب الي ثمانين وثمانين مره ثم عشره تذهب الي مائه وعشرين مره.,13,0.2307692307692307,True,17
So then what ended up being your fraction?,teacher,8,1,0.0,,0.0,إذاً ما الذي أصبح جزءك؟,اذا ما الذي اصبح جزءك؟,5,0.0,False,17
[Eight.],student,1,0,,,,[ثمانية.],[ثمانيه.],1,0.0,False,17
So that’s one possible answer.  What’s another answer?  Student M?,teacher,10,0,,,0.0,إذاً هذا واحد من الإجابات المحتملة. ما هو الإجابة الأخرى؟ الطالب M؟,اذا هذا واحد من الاجابات المحتمله. ما هو الاجابه الاخري؟ الطالب M؟,12,0.0,False,17
[Inaudible] goes into 20 [Inaudible] eight two times.,student,8,0,,0.0,,[لا يسمع] يذهب إلى 20 [لا يسمع] ثمانية مرتين.,[لا يسمع] يذهب الي 20 [لا يسمع] ثمانيه مرتين.,8,0.1111111111111111,True,17
So breaking this down by four?  So what’s your fraction?,teacher,10,1,0.0,,0.0,إذاً إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، إذاً، ما هو الجزء الخاص بك؟,اذا اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، اذا، ما هو الجزء الخاص بك؟,94,0.0,False,17
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False,17
Anybody else have anything that they did?  Wander?  Share with the class.  You raised your hand.,teacher,16,0,,,1.0,أي شخص آخر لديه أي شيء قام به؟ أرحل؟ شارك مع الفصل.,اي شخص اخر لديه اي شيء قام به؟ ارحل؟ شارك مع الفصل.,12,0.0,False,17
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False,17
Sh!,teacher,1,0,,,0.0,اللعنة!,اللعنه!,1,0.0,False,17
I bring [Inaudible] into [Inaudible] and 200 into 2 and [Inaudible] four [Inaudible] two one [Inaudible] 20 over 50.  And I break that into two again ten over 25.,student,29,0,,0.0,,أحضر [الجهاز غير السمعي] إلى [الجهاز غير السمعي] و200 إلى 2 و [الجهاز غير السمعي] أربعة [الجهاز غير السمعي] اثنان واحد [الجهاز غير السمعي] 20 على 50.,احضر [الجهاز غير السمعي] الي [الجهاز غير السمعي] و200 الي 2 و [الجهاز غير السمعي] اربعه [الجهاز غير السمعي] اثنان واحد [الجهاز غير السمعي] 20 علي 50.,24,0.074074074074074,True,17
"So, it took you a long time to do that, no?",teacher,11,0,0.0,,0.0,إذاً، لقد استغرق الأمر وقتاً طويلاً للقيام بذلك، صحيح؟,اذا، لقد استغرق الامر وقتا طويلا للقيام بذلك، صحيح؟,9,0.0,False,17
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False,17
"That’s the problem.  Some of us know how to find a simpler fraction but we don’t know how to find the simplest fraction.  So, if you think that the simplest fraction is eight twentieths, raise your hand.   If you think the simplest fraction is two fifths, raise your hand.  If you think the simplest fraction is ten over 25, raise your hand.  Okay.  Lights, camera and action.",teacher,67,5,,,0.0,هذه هي المشكلة. بعضنا يعرف كيفية العثور على جزء بسيط ولكننا لا نعرف كيفية العثور على الجزء الأبسط. لذلك، إذا كنت تعتقد أن الجزء الأبسط هو ثمانية عشرينات، رفع يدك. إذا كنت تعتقد أن الجزء الأبسط هو اثنين من الخامسة، رفع يدك. إذا كنت تعتقد أن الجزء الأبسط هو عشرة على 25، رفع يدك. حسنا. الأضواء، الكاميرا والعمل.,هذه هي المشكله. بعضنا يعرف كيفيه العثور علي جزء بسيط ولكننا لا نعرف كيفيه العثور علي الجزء الابسط. لذلك، اذا كنت تعتقد ان الجزء الابسط هو ثمانيه عشرينات، رفع يدك. اذا كنت تعتقد ان الجزء الابسط هو اثنين من الخامسه، رفع يدك. اذا كنت تعتقد ان الجزء الابسط هو عشره علي 25، رفع يدك. حسنا. الاضواء، الكاميرا والعمل.,58,0.0344827586206896,True,17
[Inaudible],student,1,0,,,,[غير مسموع],[غير مسموع],2,0.0,False,17
